Área,Competência Nº,Descrição da Competência,Código Habilidade,Descrição da Habilidade
Ciências da Natureza e suas Tecnologias,1,"Compreender as ciências naturais e as tecnologias a elas associadas como construções humanas, percebendo seus papéis nos processos de produção e no desenvolvimento econômico e social da humanidade.",H2,"Associar a solução de problemas de comunicação, transporte, saúde ou outro, com o correspondente desenvolvimento científico e tecnológico."
Ciências da Natureza e suas Tecnologias,1,"Compreender as ciências naturais e as tecnologias a elas associadas como construções humanas, percebendo seus papéis nos processos de produção e no desenvolvimento econômico e social da humanidade.",H3,"Confrontar interpretações científicas com interpretações baseadas no senso comum, ao longo do tempo ou em diferentes culturas."
Ciências da Natureza e suas Tecnologias,1,"Compreender as ciências naturais e as tecnologias a elas associadas como construções humanas, percebendo seus papéis nos processos de produção e no desenvolvimento econômico e social da humanidade.",H4,"Avaliar propostas de intervenção no ambiente, considerando a qualidade da vida humana ou medidas de conservação, recuperação ou utilização sustentável da biodiversidade."
Ciências da Natureza e suas Tecnologias,2,Identificar a presença e aplicar as tecnologias associadas às ciências naturais em diferentes contextos.,H5,Dimensionar circuitos ou dispositivos elétricos de uso cotidiano.
Ciências da Natureza e suas Tecnologias,2,Identificar a presença e aplicar as tecnologias associadas às ciências naturais em diferentes contextos.,H6,"Relacionar informações para compreender manuais de instalação ou utilização de aparelhos, ou sistemas tecnológicos de uso comum."
Ciências da Natureza e suas Tecnologias,2,Identificar a presença e aplicar as tecnologias associadas às ciências naturais em diferentes contextos.,H7,"Selecionar testes de controle, parâmetros ou critérios para a comparação de materiais e produtos, tendo em vista a defesa do consumidor, a saúde do trabalhador ou a qualidade de vida."
Ciências da Natureza e suas Tecnologias,3,Associar intervenções que resultam em degradação ou conservação ambiental a processos produtivos e sociais e a instrumentos ou ações científico-tecnológicos.,H8,"Identificar etapas em processos de obtenção, transformação, utilização ou reciclagem de recursos naturais, energéticos ou matérias-primas, considerando processos biológicos, químicos ou físicos neles envolvidos."
Ciências da Natureza e suas Tecnologias,3,Associar intervenções que resultam em degradação ou conservação ambiental a processos produtivos e sociais e a instrumentos ou ações científico-tecnológicos.,H9,"Compreender a importância dos ciclos biogeoquímicos ou do fluxo energia para a vida, ou da ação de agentes ou fenômenos que podem causar alterações nesses processos."
Ciências da Natureza e suas Tecnologias,3,Associar intervenções que resultam em degradação ou conservação ambiental a processos produtivos e sociais e a instrumentos ou ações científico-tecnológicos.,H10,"Analisar perturbações ambientais, identificando fontes, transporte e(ou) destino dos poluentes ou prevendo efeitos em sistemas naturais, produtivos ou sociais."
Ciências da Natureza e suas Tecnologias,3,Associar intervenções que resultam em degradação ou conservação ambiental a processos produtivos e sociais e a instrumentos ou ações científico-tecnológicos.,H11,"Reconhecer benefícios, limitações e aspectos éticos da biotecnologia, considerando estruturas e processos biológicos envolvidos em produtos biotecnológicos."
Ciências da Natureza e suas Tecnologias,3,Associar intervenções que resultam em degradação ou conservação ambiental a processos produtivos e sociais e a instrumentos ou ações científico-tecnológicos.,H12,"Avaliar impactos em ambientes naturais decorrentes de atividades sociais ou econômicas, considerando interesses contraditórios."
Ciências da Natureza e suas Tecnologias,4,"Compreender interações entre organismos e ambiente, em particular aquelas relacionadas à saúde humana, relacionando conhecimentos científicos, aspectos culturais e características individuais.",H13,"Reconhecer mecanismos de transmissão da vida, prevendo ou explicando a manifestação de características dos seres vivos."
Ciências da Natureza e suas Tecnologias,4,"Compreender interações entre organismos e ambiente, em particular aquelas relacionadas à saúde humana, relacionando conhecimentos científicos, aspectos culturais e características individuais.",H14,"Identificar padrões em fenômenos e processos vitais dos organismos, como manutenção do equilíbrio interno, defesa, relações com o ambiente, sexualidade, entre outros."
Ciências da Natureza e suas Tecnologias,4,"Compreender interações entre organismos e ambiente, em particular aquelas relacionadas à saúde humana, relacionando conhecimentos científicos, aspectos culturais e características individuais.",H15,Interpretar modelos e experimentos para explicar fenômenos ou processos biológicos em qualquer nível de organização dos sistemas biológicos.
Ciências da Natureza e suas Tecnologias,4,"Compreender interações entre organismos e ambiente, em particular aquelas relacionadas à saúde humana, relacionando conhecimentos científicos, aspectos culturais e características individuais.",H16,"Compreender o papel da evolução na produção de padrões, processos biológicos ou na organização taxonômica dos seres vivos."
Ciências da Natureza e suas Tecnologias,5,Entender métodos e procedimentos próprios das ciências naturais e aplicá-los em diferentes contextos.,H17,"Relacionar informações apresentadas em diferentes formas de linguagem e representação usadas nas ciências físicas, químicas ou biológicas, como texto discursivo, gráficos, tabelas, relações matemáticas ou linguagem simbólica."
Ciências da Natureza e suas Tecnologias,5,Entender métodos e procedimentos próprios das ciências naturais e aplicá-los em diferentes contextos.,H18,"Relacionar propriedades físicas, químicas ou biológicas de produtos, sistemas ou procedimentos tecnológicos às finalidades a que se destinam."
Ciências da Natureza e suas Tecnologias,5,Entender métodos e procedimentos próprios das ciências naturais e aplicá-los em diferentes contextos.,H19,"Avaliar métodos, processos ou procedimentos das ciências naturais que contribuam para diagnosticar ou solucionar problemas de ordem social, econômica ou ambiental."
Ciências da Natureza e suas Tecnologias,6,"Apropriar-se de conhecimentos da física para, em situações problema, interpretar, avaliar ou planejar intervenções científicotecnológicas.",H20,"Caracterizar causas ou efeitos dos movimentos de partículas, substâncias, objetos ou corpos celestes."
Ciências da Natureza e suas Tecnologias,6,"Apropriar-se de conhecimentos da física para, em situações problema, interpretar, avaliar ou planejar intervenções científicotecnológicas.",H21,Utilizar leis físicas e (ou) químicas para interpretar processos naturais ou tecnológicos inseridos no contexto da termodinâmica e(ou) do eletromagnetismo.
Ciências da Natureza e suas Tecnologias,6,"Apropriar-se de conhecimentos da física para, em situações problema, interpretar, avaliar ou planejar intervenções científicotecnológicas.",H22,"Compreender fenômenos decorrentes da interação entre a radiação e a matéria em suas manifestações em processos naturais ou tecnológicos, ou em suas implicações biológicas, sociais, econômicas ou ambientais."
Ciências da Natureza e suas Tecnologias,6,"Apropriar-se de conhecimentos da física para, em situações problema, interpretar, avaliar ou planejar intervenções científicotecnológicas.",H23,"Avaliar possibilidades de geração, uso ou transformação de energia em ambientes específicos, considerando implicações éticas, ambientais, sociais e/ou econômicas."
Ciências da Natureza e suas Tecnologias,7,"Apropriar-se de conhecimentos da química para, em situações problema, interpretar, avaliar ou planejar intervenções científicotecnológicas.",H24,"Utilizar códigos e nomenclatura da química para caracterizar materiais, substâncias ou transformações químicas."
Ciências da Natureza e suas Tecnologias,7,"Apropriar-se de conhecimentos da química para, em situações problema, interpretar, avaliar ou planejar intervenções científicotecnológicas.",H25,"Caracterizar materiais ou substâncias, identificando etapas, rendimentos ou implicações biológicas, sociais, econômicas ou ambientais de sua obtenção ou produção."
Ciências da Natureza e suas Tecnologias,7,"Apropriar-se de conhecimentos da química para, em situações problema, interpretar, avaliar ou planejar intervenções científicotecnológicas.",H26,"Avaliar implicações sociais, ambientais e/ou econômicas na produção ou no consumo de recursos energéticos ou minerais, identificando transformações químicas ou de energia envolvidas nesses processos."
Ciências da Natureza e suas Tecnologias,7,"Apropriar-se de conhecimentos da química para, em situações problema, interpretar, avaliar ou planejar intervenções científicotecnológicas.",H27,"Avaliar propostas de intervenção no meio ambiente aplicando conhecimentos químicos, observando riscos ou benefícios."
Ciências da Natureza e suas Tecnologias,8,"Apropriar-se de conhecimentos da biologia para, em situações problema, interpretar, avaliar ou planejar intervenções científicotecnológicas.",H28,"Associar características adaptativas dos organismos com seu modo de vida ou com seus limites de distribuição em diferentes ambientes, em especial em ambientes brasileiros."
Ciências da Natureza e suas Tecnologias,8,"Apropriar-se de conhecimentos da biologia para, em situações problema, interpretar, avaliar ou planejar intervenções científicotecnológicas.",H29,"Interpretar experimentos ou técnicas que utilizam seres vivos, analisando implicações para o ambiente, a saúde, a produção de alimentos, matérias primas ou produtos industriais."
Ciências da Natureza e suas Tecnologias,8,"Apropriar-se de conhecimentos da biologia para, em situações problema, interpretar, avaliar ou planejar intervenções científicotecnológicas.",H30,"Avaliar propostas de alcance individual ou coletivo, identificando aquelas que visam à preservação e a implementação da saúde individual, coletiva ou do ambiente."
Ciências Humanas e suas Tecnologias,1,Compreender os elementos culturais que constituem as identidades,H1,Interpretar historicamente e/ou geograficamente fontes documentais acerca de aspectos da cultura.
Ciências Humanas e suas Tecnologias,1,Compreender os elementos culturais que constituem as identidades,H2,Analisar a produção da memória pelas sociedades humanas.
Ciências Humanas e suas Tecnologias,1,Compreender os elementos culturais que constituem as identidades,H3,Associar as manifestações culturais do presente aos seus processos históricos.
Ciências Humanas e suas Tecnologias,1,Compreender os elementos culturais que constituem as identidades,H4,Comparar pontos de vista expressos em diferentes fontes sobre determinado aspecto da cultura.
Ciências Humanas e suas Tecnologias,1,Compreender os elementos culturais que constituem as identidades,H5,Identificar as manifestações ou representações da diversidade do patrimônio cultural e artístico em diferentes sociedades.
Ciências Humanas e suas Tecnologias,2,Compreender as transformações dos espaços geográficos como produto das relações socioeconômicas e culturais de poder.,H6,Interpretar diferentes representações gráficas e cartográficas dos espaços geográficos.
Ciências Humanas e suas Tecnologias,2,Compreender as transformações dos espaços geográficos como produto das relações socioeconômicas e culturais de poder.,H7,Identificar os significados histórico-geográficos das relações de poder entre as nações
Ciências Humanas e suas Tecnologias,2,Compreender as transformações dos espaços geográficos como produto das relações socioeconômicas e culturais de poder.,H8,Analisar a ação dos estados nacionais no que se refere à dinâmica dos fluxos populacionais e no enfrentamento de problemas de ordem econômico-social.
Ciências Humanas e suas Tecnologias,2,Compreender as transformações dos espaços geográficos como produto das relações socioeconômicas e culturais de poder.,H9,"Comparar o significado histórico-geográfico das organizações políticas e socioeconômicas em escala local, regional ou mundial."
Ciências Humanas e suas Tecnologias,2,Compreender as transformações dos espaços geográficos como produto das relações socioeconômicas e culturais de poder.,H10,Reconhecer a dinâmica da organização dos movimentos sociais e a importância da participação da coletividade na transformação da realidade histórico-geográfica.
Ciências Humanas e suas Tecnologias,3,"Compreender a produção e o papel histórico das instituições sociais, políticas e econômicas, associando-as aos diferentes grupos, conflitos e movimentos sociais.",H11,Identificar registros de práticas de grupos sociais no tempo e no espaço.
Ciências Humanas e suas Tecnologias,3,"Compreender a produção e o papel histórico das instituições sociais, políticas e econômicas, associando-as aos diferentes grupos, conflitos e movimentos sociais.",H12,Analisar o papel da justiça como instituição na organização das sociedades.
Ciências Humanas e suas Tecnologias,3,"Compreender a produção e o papel histórico das instituições sociais, políticas e econômicas, associando-as aos diferentes grupos, conflitos e movimentos sociais.",H13,Analisar a atuação dos movimentos sociais que contribuíram para mudanças ou rupturas em processos de disputa pelo poder.
Ciências Humanas e suas Tecnologias,3,"Compreender a produção e o papel histórico das instituições sociais, políticas e econômicas, associando-as aos diferentes grupos, conflitos e movimentos sociais.",H14,"Comparar diferentes pontos de vista, presentes em textos analíticos e interpretativos, sobre situação ou fatos de natureza histórico-geográfica acerca das instituições sociais, políticas e econômicas."
Ciências Humanas e suas Tecnologias,3,"Compreender a produção e o papel histórico das instituições sociais, políticas e econômicas, associando-as aos diferentes grupos, conflitos e movimentos sociais.",H15,"Avaliar criticamente conflitos culturais, sociais, políticos, econômicos ou ambientais ao longo da história."
Ciências Humanas e suas Tecnologias,4,"Entender as transformações técnicas e tecnológicas e seu impacto nos processos de produção, no desenvolvimento do conhecimento e na vida social.",H16,Identificar registros sobre o papel das técnicas e tecnologias na organização do trabalho e/ou da vida social.
Ciências Humanas e suas Tecnologias,4,"Entender as transformações técnicas e tecnológicas e seu impacto nos processos de produção, no desenvolvimento do conhecimento e na vida social.",H17,Analisar fatores que explicam o impacto das novas tecnologias no processo de territorialização da produção.
Ciências Humanas e suas Tecnologias,4,"Entender as transformações técnicas e tecnológicas e seu impacto nos processos de produção, no desenvolvimento do conhecimento e na vida social.",H18,Analisar diferentes processos de produção ou circulação de riquezas e suas implicações sócio-espaciais.
Ciências Humanas e suas Tecnologias,4,"Entender as transformações técnicas e tecnológicas e seu impacto nos processos de produção, no desenvolvimento do conhecimento e na vida social.",H19,Reconhecer as transformações técnicas e tecnológicas que determinam as várias formas de uso e apropriação dos espaços rural e urbano.
Ciências Humanas e suas Tecnologias,4,"Entender as transformações técnicas e tecnológicas e seu impacto nos processos de produção, no desenvolvimento do conhecimento e na vida social.",H20,Selecionar argumentos favoráveis ou contrários às modificações impostas pelas novas tecnologias à vida social e ao mundo do trabalho.
Ciências Humanas e suas Tecnologias,5,"Utilizar os conhecimentos históricos para compreender e valorizar os fundamentos da cidadania e da democracia, favorecendo uma atuação consciente do indivíduo na sociedade.",H21,Identificar o papel dos meios de comunicação na construção da vida social.
Ciências Humanas e suas Tecnologias,5,"Utilizar os conhecimentos históricos para compreender e valorizar os fundamentos da cidadania e da democracia, favorecendo uma atuação consciente do indivíduo na sociedade.",H22,Analisar as lutas sociais e conquistas obtidas no que se refere às mudanças nas legislações ou nas políticas públicas.
Ciências Humanas e suas Tecnologias,5,"Utilizar os conhecimentos históricos para compreender e valorizar os fundamentos da cidadania e da democracia, favorecendo uma atuação consciente do indivíduo na sociedade.",H23,Analisar a importância dos valores éticos na estruturação política das sociedades.
Ciências Humanas e suas Tecnologias,5,"Utilizar os conhecimentos históricos para compreender e valorizar os fundamentos da cidadania e da democracia, favorecendo uma atuação consciente do indivíduo na sociedade.",H24,Relacionar cidadania e democracia na organização das sociedades.
Ciências Humanas e suas Tecnologias,5,"Utilizar os conhecimentos históricos para compreender e valorizar os fundamentos da cidadania e da democracia, favorecendo uma atuação consciente do indivíduo na sociedade.",H25,Identificar estratégias que promovam formas de inclusão social.
Ciências Humanas e suas Tecnologias,6,"Compreender a sociedade e a natureza, reconhecendo suas interações no espaço em diferentes contextos históricos e geográficos.",H26,Identificar em fontes diversas o processo de ocupação dos meios físicos e as relações da vida humana com a paisagem.
Ciências Humanas e suas Tecnologias,6,"Compreender a sociedade e a natureza, reconhecendo suas interações no espaço em diferentes contextos históricos e geográficos.",H27,"Analisar de maneira crítica as interações da sociedade com o meio físico, levando em consideração aspectos históricos e(ou) geográficos."
Ciências Humanas e suas Tecnologias,6,"Compreender a sociedade e a natureza, reconhecendo suas interações no espaço em diferentes contextos históricos e geográficos.",H28,Relacionar o uso das tecnologias com os impactos sócio-ambientais em diferentes contextos histórico-geográficos.
Ciências Humanas e suas Tecnologias,6,"Compreender a sociedade e a natureza, reconhecendo suas interações no espaço em diferentes contextos históricos e geográficos.",H29,"Reconhecer a função dos recursos naturais na produção do espaço geográfico, relacionando-os com as mudanças provocadas pelas ações humanas."
Ciências Humanas e suas Tecnologias,6,"Compreender a sociedade e a natureza, reconhecendo suas interações no espaço em diferentes contextos históricos e geográficos.",H30,Avaliar as relações entre preservação e degradação da vida no planeta nas diferentes escalas
